Gene name,chr,start,end
MT-TF,MT,577,647
MT-RNR1,MT,648,1601
MT-TV,MT,1602,1670
MT-RNR2,MT,1671,3229
MT-TL1,MT,3230,3304
MT-ND1,MT,3307,4262
MT-TI,MT,4263,4331
MT-TQ,MT,4329,4400
MT-TM,MT,4402,4469
MT-ND2,MT,4470,5511
MT-TW,MT,5512,5579
MT-TA,MT,5587,5655
MT-TN,MT,5657,5729
MT-TC,MT,5761,5826
MT-TY,MT,5826,5891
MT-CO1,MT,5904,7445
MT-TS1,MT,7446,7514
MT-TD,MT,7518,7585
MT-CO2,MT,7586,8269
MT-TK,MT,8295,8364
MT-ATP8,MT,8366,8572
MT-ATP6,MT,8527,9207
MT-CO3,MT,9207,9990
MT-TG,MT,9991,10058
MT-ND3,MT,10059,10404
MT-TR,MT,10405,10469
MT-ND4L,MT,10470,10766
MT-ND4,MT,10760,12137
MT-TH,MT,12138,12206
MT-TS2,MT,12207,12265
MT-TL2,MT,12266,12336
MT-ND5,MT,12337,14148
MT-ND6,MT,14149,14673
MT-TE,MT,14674,14742
MT-CYB,MT,14747,15887
MT-TT,MT,15888,15953
MT-TP,MT,15956,16023
RN7SL291P,X,44772773,44773061
RNA5SP165,4,147745303,147745417
RN7SL8P,7,104911928,104912193
RN7SL12P,11,66712720,66713009
RNU7-54P,7,128443449,128443510
AL009175.1,X,86019608,86019715
RN7SL602P,2,34809233,34809556
AC092115.1,16,69785994,69786113
RN7SL19P,8,70654578,70654883
AC008810.1,5,40790077,40790204
SNORD6,11,93731502,93731574
RNU6-888P,5,138123011,138123111
SNORA77,1,203729581,203729705
RN7SL849P,9,12764761,12765055
RN7SL525P,19,58543299,58543578
AP002848.1,8,117313528,117313661
RN7SKP234,3,174057641,174057864
AC002981.1,X,12149126,12149238
RNU6-53P,13,28703702,28703807
RNU6-1265P,1,14124233,14124335
RNU4-37P,8,112148742,112148825
RNA5SP488,21,14070871,14070986
RN7SKP235,4,145035132,145035436
CR589951.1,1,28422555,28422655
AL049692.2,11,32439716,32440009
RNY1P2,13,102016953,102017069
AP003031.1,11,75837544,75837645
AC140119.1,3,165122713,165122823
GU182345.5,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54913656,54913762
RN7SL200P,6,34685355,34685642
AC012354.6,2,44940045,44940245
RN7SL531P,2,43492032,43492313
RNU7-188P,7,96377857,96377920
RNU6-760P,5,31832439,31832535
RNU6-955P,17,4619749,4619852
RN7SKP2,13,40407122,40407440
RNU1-148P,8,24076997,24077158
RN7SL771P,7,140645829,140646126
RNU6-706P,18,39034007,39034110
RNU6-643P,6,41302466,41302572
RNU6-1045P,2,191370938,191371044
SNORD71,16,71758402,71758487
AP003041.3,11,130114251,130114335
AC063961.1,10,24255246,24255333
RNA5SP202,6,4427963,4428081
RNA5SP469,19,21113128,21113236
RNU6-168P,5,163796065,163796165
RNU6-395P,2,127845236,127845341
RN7SKP219,10,21785292,21785587
RN7SKP149,X,143197248,143197591
RNU6-1038P,18,21879801,21879904
RN7SL748P,6,36522191,36522501
RN7SKP48,4,85100496,85100823
RN7SL23P,11,61444149,61444423
SNORD117,CHR_HSCHR6_MHC_MANN_CTG1,31575852,31575927
SNORA17B,9,136726104,136726239
RN7SL135P,8,63234634,63234911
AC092960.1,3,183454128,183454262
RN7SKP21,14,36231555,36231774
AC243913.1,CHR_HSCHR15_4_CTG8,28665659,28665948
RN7SKP225,9,99284022,99284373
RNU6-573P,4,35495898,35496003
AF111167.3,14,75270700,75270780
FO681491.2,13,18418526,18418632
AC008128.1,12,95617689,95617786
RN7SL443P,20,44007248,44007537
AC069157.2,2,53470447,53470629
AC005389.1,17,14177131,14177310
RNA5SP130,3,49467115,49467228
RNA5SP89,2,28683976,28684083
AL354980.1,1,154288460,154288527
